Revenue,Sales,other Rev,COGS,Gross Profit,total other Income,Total salary and expense,Total operating expense,Total Amortization and Depreciation,Total Financial Charges,Total Selling and Distribution expense,Tax,Net Income,Cash,Receivables,Inventories,Total Current Asset,Total Fixed Asset,Intangible Asset,Total Asset,Trade Payables,Term Loan,Hire Purchase Creditors,Income Tax Payables,Amount owing to directors/shareholders/related parties,Total Current Liabilities,Long Term Loan,Hire Purchase Creditor_Long,Total Liabilities,Paid Up Capital,Retained Earning,Total Equity,EBITDA,EBIT,Current Ratio,Cash Ratio,Gross Margin Ratio,Operating Margin Ratio,Net Profit Ratio,Net Profit to TA Ratio,Net Profit to TL Ratio,Debt to Equity Ratio,Debt to Asset Ratio,EBITDA to TA Ratio,EBITDA to Equity Ratio,EBITDA to Sales Ratio,Equity to TA Ratio,Equity to FA Ratio,Equity to TL Ratio,Cash to Equity,Cash to TA,Cash to Sales,Label
991022.0,991022.0,0.0,613949.0,377073.0,150.0,151903.0,130779.0,0.0,23603.0,0.0,2798.0,68140.0,132459.0,547647.0,0.0,680106.0,188690.0,0.0,868796.0,3550.0,50976.0,0.0,13347.0,0.0,67873.0,361833.0,0.0,429706.0,150000.0,289090.0,439090.0,70938.0,70938.0,10.020273157220101,1.9515713170185494,0.3804890305159724,0.07158065108544513,0.06875730306693494,0.07843037951371784,0.15857353632483606,0.9786285271812157,0.49459942264927553,0.08165092841127261,0.16155685622537522,0.07158065108544513,0.5054005773507244,2.327044358471567,1.0218381870395108,0.30166708419686167,0.1524627185208035,0.13365899041595444,0
266000.0,266000.0,0.0,68848.0,197152.0,5128.0,102400.0,27500.0,30450.0,22000.0,0.0,0.0,19930.0,42922.0,558113.0,0.0,619338.0,1448370.0,0.0,2067708.0,127305.0,0.0,0.0,3334.0,0.0,137033.0,1068102.0,0.0,1585377.0,100000.0,382331.0,482331.0,50380.0,19930.0,4.519626659271855,0.3132238219990805,0.741172932330827,0.07492481203007519,0.07492481203007519,0.009638691730166928,0.012571142384429697,3.286906709292996,0.7667315694479104,0.02436514246692473,0.10445109271433932,0.1893984962406015,0.23326843055208957,0.33301642536092296,0.30423741482309885,0.08898868204614674,0.020758250197803557,0.1613609022556391,0
2928197.0,2928197.0,0.0,1387632.0,1540565.0,7936.0,72000.0,1179691.0,52608.0,68895.0,0.0,20877.0,154430.0,179005.0,1156848.0,0.0,1679035.0,797558.0,0.0,2476593.0,112605.0,540436.0,0.0,20877.0,33192.0,707110.0,734607.0,0.0,1441717.0,50002.0,984874.0,1034876.0,227915.0,175307.0,2.3745032597474225,0.2531501463704374,0.526113850946504,0.05986858124641204,0.052738937988120335,0.06235582511942818,0.10711533539522666,1.3931301914432261,0.5821372344991688,0.09202763635365198,0.22023411500508275,0.07783458558286892,0.4178627655008312,1.2975557890460632,0.7178080025414142,0.17297241408632533,0.07227873130546683,0.061131474419241605,0
80850000.0,80850000.0,0.0,51632578.8,29217421.2,0.0,0.0,152523.0,0.0,0.0,0.0,14004.0,29050894.2,70883.0,8013748.0,0.0,8096059.0,16221.0,0.0,8112280.0,4086085.0,0.0,0.0,18693.0,246034.0,4405422.0,0.0,0.0,4405422.0,3152467.0,554391.0,3706858.0,29064898.2,29064898.2,1.837748801363411,0.016089945526217467,0.3613781224489796,0.3594916289424861,0.3593184192949907,3.581101022154068,6.594349916988656,1.1884517831543588,0.5430559596069169,3.5828272939296966,7.84084478013455,0.3594916289424861,0.45694404039308306,228.5221626286912,0.8414308549782518,0.019122124451489645,0.008737740807763046,0.0008767223252937539,0
891450.0,891450.0,0.0,633222.0,258228.0,2340.0,115500.0,99796.0,23000.0,0.0,0.0,2054.0,20218.0,44285.0,122287.0,0.0,183120.0,66000.0,0.0,249120.0,0.0,0.0,0.0,2054.0,0.0,15478.0,0.0,0.0,15478.0,80000.0,153642.0,233642.0,45272.0,22272.0,11.830985915492958,2.8611577723220054,0.28967188288743057,0.024984014807336363,0.022679903527960066,0.08115767501605652,1.3062411164233105,0.06624665085900651,0.06213070006422607,0.1817276814386641,0.19376653170234803,0.05078467665040103,0.937869299935774,3.540030303030303,15.095102726450445,0.18954211999554874,0.17776573538856777,0.04967749172696169,0
1662840.0,1662840.0,0.0,910896.0,751944.0,24907.0,170220.0,224468.0,0.0,33926.0,5116.0,0.0,343121.0,6415.0,349719.0,1153572.0,3116633.0,99411.0,0.0,3216044.0,115317.0,1782379.0,0.0,0.0,796917.0,2866730.0,107679.0,0.0,2974409.0,100000.0,141635.0,241635.0,343121.0,343121.0,1.0871735391892505,0.0022377412592047385,0.452204661903731,0.20634637126843233,0.20634637126843233,0.10669039353939187,0.11535770635443882,12.309512280919568,0.9248657667618976,0.10669039353939187,1.419997103068678,0.20634637126843233,0.07513423323810246,2.430666626429671,0.08123798710937198,0.02654830632979494,0.001994686639859405,0.003857857641144067,0
1965008.0,1965008.0,0.0,198137.0,1766871.0,20809.0,1447614.0,154176.0,144609.0,0.0,0.0,4684.0,36597.0,420.0,603951.0,0.0,731606.0,81749.0,0.0,813355.0,88907.0,0.0,0.0,4684.0,183124.0,521830.0,0.0,0.0,521830.0,90000.0,201525.0,291525.0,185890.0,41281.0,1.4020006515531878,0.0008048598202479735,0.8991673316342732,0.02100805696465358,0.018624351656583587,0.0449951128351089,0.07013203533717878,1.790000857559386,0.6415771710999502,0.2285471903412409,0.6376468570448504,0.09460012376539943,0.3584228289000498,3.566098667873613,0.5586589502328344,0.0014406997684589659,0.0005163796866067093,0.00021373958782865005,0
5783257.0,5783257.0,0.0,4229145.0,1554112.0,29404.0,720702.0,214577.0,127102.0,351925.0,0.0,12191.0,157019.0,87861.0,1615079.0,0.0,2330144.0,452698.0,0.0,2782842.0,282379.0,626512.0,46464.0,0.0,0.0,1068118.0,478021.0,105368.0,1651507.0,200000.0,931335.0,1131335.0,296312.0,169210.0,2.181541739770325,0.08225776552777876,0.2687260828975783,0.029258599436269215,0.027150617722850635,0.05642397232757016,0.09507619404580181,1.4597860050294564,0.5934605701653202,0.10647819746863099,0.2619135799741014,0.051236180581288364,0.4065394298346798,2.49909431894994,0.6850319132767829,0.07766134699271215,0.03157239972661042,0.01519230426730128,1
460000.0,460000.0,0.0,117041.6,342958.4,4102.4,163840.0,16500.0,24360.0,28600.0,0.0,0.0,113760.8,42922.0,558113.0,0.0,619338.0,1448370.0,0.0,2067708.0,127305.0,0.0,0.0,3334.0,0.0,137033.0,1068102.0,0.0,1585377.0,100000.0,382331.0,482331.0,138120.8,113760.8,4.519626659271855,0.3132238219990805,0.7455617391304349,0.24730608695652176,0.24730608695652176,0.055017826501614346,0.07175630780565127,3.286906709292996,0.7667315694479104,0.06679898709102058,0.2863610259344724,0.30026260869565213,0.23326843055208957,0.33301642536092296,0.30423741482309885,0.08898868204614674,0.020758250197803557,0.09330869565217391,0
1302520.4,1302520.4,0.0,755927.49,546592.91,3575.2,4319.0,158798.39,0.0,0.0,0.0,0.0,387050.72,316937.91,1134655.56,16878.72,1639369.21,2643.99,0.0,1642013.2,966246.23,0.0,0.0,0.0,0.0,1034119.13,0.0,0.0,1034119.13,1.0,607893.07,607894.07,387050.72,387050.72,1.5852808080245067,0.3064810434364559,0.4196424946588169,0.29715520770346476,0.29715520770346476,0.23571717937468467,0.3742805918308464,1.7011502184911922,0.6297873427570497,0.23571717937468467,0.636707510570057,0.29715520770346476,0.37021265724295027,229.91541949856088,0.5878375637437439,0.5213702940053355,0.1930178819512535,0.24332663810870064,0
